id_cliente;seg_str;ocupacion;tipo_vivienda;nivel_academico;estado_civil;genero;edad;ingreso_rango;Valor_telecom;edad2
6;PERSONAL;5;I;I;I;M;87;No disponible;79476.06;mas 60
840;PERSONAL;5;I;U;I;M;60;No disponible;17707.39;mas 60
862;PERSONAL;1;I;I;M;M;31;No disponible;110463.5;31-35
940;PERSONAL;4;I;I;F;F;39;No disponible;43091.64;36-40
1138;PERSONAL PLUS;1;F;E;M;F;39;No disponible;364945.22;36-40
1373;PERSONAL;1;I;I;I;M;39;No disponible;31447.19;36-40
1397;PERSONAL;1;I;I;S;M;42;No disponible;442309.44;41-45
1606;PERSONAL;1;I;U;S;F;33;No disponible;285196.8;31-35
1972;PERSONAL;1;I;S;S;M;28;No disponible;824080.84;25-30
2421;PERSONAL PLUS;1;I;U;S;F;31;No disponible;307887.9;31-35
2538;PERSONAL;1;I;I;S;M;26;No disponible;228349.37;25-30
2542;PERSONAL;1;I;I;I;F;22;No disponible;153471.7;menos 25
2843;PERSONAL;1;I;I;I;M;44;No disponible;56259.76;41-45
2888;PERSONAL;2;I;I;S;M;22;No disponible;45209.19;menos 25
3071;PERSONAL;1;I;I;I;F;23;No disponible;122774.86;menos 25
3086;PERSONAL;1;I;I;M;M;35;No disponible;32496.54;31-35
3230;PERSONAL;1;I;I;S;F;25;No disponible;9228.61;25-30
3994;PERSONAL;1;R;U;S;M;33;No disponible;4996;31-35
4389;PERSONAL;5;O;H;D;M;78;No disponible;157799;mas 60
6300;PERSONAL;1;F;T;S;M;34;No disponible;5231.58;31-35
6349;PERSONAL;1;I;T;S;M;33;No disponible;12527.37;31-35
6446;PERSONAL;P;F;U;M;M;39;No disponible;563652.45;36-40
6517;PERSONAL;O;I;I;I;M;56;No disponible;5703.18;51-59
6989;PERSONAL;5;O;U;M;M;72;No disponible;171865.58;mas 60
7439;PERSONAL;1;F;U;S;M;36;No disponible;425258.41;36-40
7499;PERSONAL;5;O;S;M;M;76;No disponible;375159.06;mas 60
7586;PERSONAL PLUS;1;I;H;I;M;38;No disponible;251916.5;36-40
7823;PERSONAL;1;R;T;S;M;36;No disponible;251787.74;36-40
7914;PERSONAL;1;O;T;M;M;52;No disponible;1317023.86;51-59
8379;PERSONAL PLUS;O;O;U;M;M;51;No disponible;194025.7;51-59
8453;PERSONAL PLUS;O;F;H;F;M;36;No disponible;47029.07;36-40
8947;EMPRENDEDOR;3;F;T;F;M;35;No disponible;43089.14;31-35
9762;PERSONAL;1;I;U;S;M;35;No disponible;804030.23;31-35
10169;PERSONAL PLUS;1;R;U;I;M;39;No disponible;135250.53;36-40
10243;PERSONAL;1;I;U;S;M;37;No disponible;39544.31;36-40
11281;PERSONAL;1;F;T;S;M;33;No disponible;296785.27;31-35
11744;PERSONAL;1;I;I;M;M;34;No disponible;632814.41;31-35
12852;PERSONAL;5;O;U;M;M;72;No disponible;449689.28;mas 60
13020;OTRO;5;O;T;M;M;69;No disponible;146087.81;mas 60
13290;OTRO;1;I;U;F;M;36;No disponible;51432.84;36-40
13351;PERSONAL;5;F;U;D;M;71;No disponible;59599.78;mas 60
15645;EMPRENDEDOR;3;F;U;D;M;37;No disponible;178737.54;36-40
16384;PERSONAL;1;F;U;M;M;35;No disponible;954299.13;31-35
16469;EMPRENDEDOR;3;I;I;S;M;33;No disponible;100536.5;31-35
16770;PERSONAL;1;I;E;M;M;37;No disponible;98358.01;36-40
17138;PERSONAL;1;I;I;S;M;39;No disponible;14719.24;36-40
17165;PERSONAL;1;R;I;I;M;39;No disponible;40402.75;36-40
17174;PERSONAL;1;I;U;S;M;38;No disponible;342077.85;36-40
17341;PERSONAL;1;O;E;S;M;38;No disponible;78036.64;36-40
17349;PERSONAL;1;F;T;S;M;37;No disponible;49122.67;36-40
